排名,电影名,导演,年份,国家/地区,评分,评价人数,一句话评价
110,辩护人,杨宇硕 Woo-seok Yang,2013,韩国,9.2,631631,电影的现实意义大过电影本身。
111,饮食男女,李安 Ang Lee,1994,中国台湾 美国,9.2,675254,人生不能像做菜，把所有的料都准备好了才下锅。
112,搏击俱乐部,大卫·芬奇 David Fincher,1999,美国,9.0,914679,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
113,本杰明·巴顿奇事,大卫·芬奇 David Fincher,2008,美国,9.0,1053247,在时间之河里感受溺水之苦。
114,美丽心灵,朗·霍华德 Ron Howard,2001,美国,9.1,820045,爱是一切逻辑和原由。
115,穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman,2008,英国 美国,9.2,611183,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
116,情书,岩井俊二 Shunji Iwai,1995,日本,8.9,1224585,暗恋的极致。
117,窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,2006,德国,9.2,605472,别样人生。
118,两杆大烟枪,盖·里奇 Guy Ritchie,1998,英国,9.1,641632,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
119,哈利·波特与死亡圣器(下),大卫·叶茨 David Yates,2011,美国 英国,9.0,914173,10年的完美句点。
120,音乐之声,罗伯特·怀斯 Robert Wise,1965,美国,9.1,648576,用音乐化解仇恨，让歌声串起美好。
121,看不见的客人,奥里奥尔·保罗 Oriol Paulo,2016,西班牙,8.8,1370486,你以为你以为的就是你以为的。
122,西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore,2000,意大利 美国,8.9,1045468,美丽无罪。
123,阿凡达,詹姆斯·卡梅隆 James Cameron,2009,美国,8.8,1505363,绝对意义上的美轮美奂。
124,拯救大兵瑞恩,史蒂文·斯皮尔伯格 Steven Spielberg,1998,美国,9.1,691221,美利坚精神输出大片No1.
125,功夫,周星驰 Stephen Chow,2004,中国大陆 中国香港,8.9,1247429,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
151,哈利·波特与阿兹卡班的囚徒,Alfonso Cuarón,2004,英国 美国,9.0,830135,不一样的导演，不一样的哈利·波特。
152,小鞋子,马基德·马基迪 Majid Majidi,1997,伊朗,9.2,441180,奔跑的孩子是天使。
153,飞越疯人院,米洛斯·福尔曼 Miloš Forman,1975,美国,9.1,580081,自由万岁。
154,沉默的羔羊,乔纳森·戴米 Jonathan Demme,1991,美国,8.9,963570,安东尼·霍普金斯的顶级表演。
155,布达佩斯大饭店,韦斯·安德森 Wes Anderson,2014,美国 德国 英国,8.9,1024108,小清新的故事里注入了大历史的情怀。
156,蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,2004,美国 加拿大,8.9,1011081,人的命运被自己瞬间的抉择改变。
157,禁闭岛,Martin Scorsese,2010,美国,8.9,1055577,昔日翩翩少年，今日大腹便便。
158,致命魔术,克里斯托弗·诺兰 Christopher Nolan,2006,英国 美国,8.9,921088,孪生蝙蝠侠大战克隆金刚狼。
159,心灵捕手,格斯·范·桑特 Gus Van Sant,1997,美国,9.0,776938,人生中应该拥有这样的一段豁然开朗。
160,超脱,托尼·凯耶 Tony Kaye,2011,美国,9.0,674492,穷尽一生，我们要学会的，不过是彼此拥抱。
161,低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino,1994,美国,8.9,906164,故事的高级讲法。
162,摩登时代,查理·卓别林 Charles Chaplin,1936,美国,9.3,327189,大时代中的人生，小人物的悲喜。
163,喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999,中国香港,8.8,1037552,我是一个演员。
